timestamp,county,covid_hospitalizations,covid_hospitalizations_update_9_29_remove_minus
2020-07-14T190213,SUMTER,25,NA
2020-07-14T190213,SUWANNEE,0,NA
2020-07-14T190213,TAYLOR,0,NA
2020-07-14T190213,UNION,0,NA
2020-07-14T190213,VOLUSIA,144,NA
2020-07-14T190213,WALTON,6,NA
2020-07-14T190213,WASHINGTON,5,NA
2020-07-14T190213,All,"8,353",NA
2020-07-15T070054,ALACHUA,115,NA
2020-07-15T070054,BAKER,34,NA
2020-07-15T070054,BAY,63,NA
2020-07-15T070054,BREVARD,126,NA
2020-07-15T070054,BROWARD,"1,228",NA
2020-07-15T070054,CALHOUN,1,NA
2020-07-15T070054,CHARLOTTE,41,NA
2020-07-15T070054,CITRUS,20,NA
2020-07-15T070054,CLAY,61,NA
2020-07-15T070054,COLLIER,193,NA
2020-07-15T070054,COLUMBIA,20,NA
2020-07-15T070054,DESOTO,2,NA
2020-07-15T070054,DUVAL,535,NA
2020-07-15T070054,ESCAMBIA,167,NA
2020-07-15T070054,FLAGLER,20,NA
2020-07-15T070054,FRANKLIN,0,NA
2020-07-15T070054,GADSDEN,0,NA
2020-07-15T070054,GULF,2,NA
2020-07-15T070054,HARDEE,0,NA
2020-07-15T070054,HENDRY,3,NA
2020-07-15T070054,HERNANDO,58,NA
2020-07-15T070054,HIGHLANDS,51,NA
2020-07-15T070054,HILLSBOROUGH,293,NA
2020-07-15T070054,HOLMES,0,NA
2020-07-15T070054,INDIAN RIVER,35,NA
2020-07-15T070054,JACKSON,36,NA
2020-07-15T070054,LAKE,133,NA
2020-07-15T070054,LEE,274,NA
2020-07-15T070054,LEON,65,NA
2020-07-15T070054,MADISON,0,NA
2020-07-15T070054,MANATEE,95,NA
2020-07-15T070054,MARION,86,NA
2020-07-15T070054,MARTIN,43,NA
2020-07-15T070054,MIAMI-DADE,"1,858",NA
2020-07-15T070054,MONROE,19,NA
2020-07-15T070054,NASSAU,4,NA
2020-07-15T070054,OKALOOSA,38,NA
2020-07-15T070054,OKEECHOBEE,17,NA
2020-07-15T070054,ORANGE,568,NA
2020-07-15T070054,OSCEOLA,193,NA
